-73.469,20.093
-73.54399999999998,20.005
-73.47300000000001,20.033
-73.40100000000001,20.061
-73.39800000000002,20.121
-73.32999999999998,20.088
-73.327,20.149
-73.25900000000001,20.116
-73.54700000000003,19.945
-73.476,19.973
-73.40499999999997,20.0
-73.334,20.028
-73.26300000000003,20.056
-73.19100000000003,20.084
-73.18799999999999,20.144
-73.12,20.111
-73.62099999999998,19.856
-73.55000000000001,19.884
-73.47899999999998,19.912
-73.40800000000002,19.94
-73.33699999999999,19.968
-73.26600000000002,19.996
-73.195,20.023
-73.12400000000002,20.051
-73.05200000000002,20.079
-73.048,20.139
-72.981,20.106
-73.695,19.767
-73.62400000000002,19.796
-73.553,19.824
-73.483,19.852
-73.41200000000003,19.88
-73.34100000000001,19.908
-73.26999999999998,19.936
-73.19799999999998,19.963
-73.12700000000001,19.991
-73.05599999999998,20.018
-72.98399999999998,20.046
-72.91300000000001,20.073
-72.90899999999999,20.133
-72.84100000000001,20.101
-73.69799999999998,19.707
-73.62700000000001,19.735
-73.55700000000002,19.763
-73.48599999999999,19.792
-73.41500000000002,19.82
-73.344,19.847
-73.27300000000002,19.875
-73.202,19.903
-73.13099999999997,19.931
-73.06,19.958
-72.988,19.986
-72.91700000000003,20.013
-72.84500000000003,20.041
-72.774,20.068
-72.76999999999998,20.128
-72.702,20.095
-73.77199999999999,19.618
-73.70100000000002,19.647
-73.63099999999997,19.675
-73.56,19.703
-73.48900000000003,19.731
-73.418,19.759
-73.34800000000001,19.787
-73.27699999999999,19.815
-73.20600000000002,19.843
-73.13400000000001,19.871
-73.06299999999999,19.898
-72.99200000000002,19.926
-72.92099999999999,19.953
-72.84899999999999,19.981
-72.77699999999999,20.008
-72.70600000000002,20.035
-72.63400000000001,20.062
-72.63,20.122
-72.56200000000001,20.089
-72.55799999999999,20.149
-72.49000000000001,20.116
-73.84500000000003,19.529
-73.77499999999998,19.558
-73.70400000000001,19.586
-73.63400000000001,19.614
-73.56299999999999,19.643
-73.493,19.671
-73.42200000000003,19.699
-73.351,19.727
-73.27999999999997,19.755
-73.209,19.783
-73.13800000000003,19.81
-73.06700000000001,19.838
-72.99599999999998,19.866
-72.92399999999998,19.893
-72.85300000000001,19.921
-72.781,19.948
-72.70999999999998,19.975
-72.63800000000003,20.002
-72.56600000000003,20.029
-72.49400000000003,20.056
-72.423,20.083
-72.418,20.143
-72.351,20.11
-73.91899999999998,19.44
-73.84800000000001,19.469
-73.77800000000002,19.497
-73.70799999999997,19.525
-73.637,19.554
-73.56700000000001,19.582
-73.49599999999998,19.61
-73.42500000000001,19.639
-73.35399999999998,19.667
-73.28399999999999,19.695
-73.21299999999997,19.722
-73.142,19.75
-73.07100000000003,19.778
-72.99900000000002,19.806
-72.928,19.833
-72.85699999999997,19.861
-72.78499999999997,19.888
-72.714,19.915
-72.642,19.942
-72.57,19.969
-72.49900000000002,19.996
-72.42700000000002,20.023
-72.35500000000002,20.05
-72.28300000000002,20.077
-72.27800000000002,20.136
-72.21100000000001,20.103
-73.92200000000003,19.379
-73.851,19.408
-73.781,19.436
-73.71100000000001,19.465
-73.63999999999999,19.493
-73.57,19.522
-73.49900000000002,19.55
-73.42899999999997,19.578
-73.358,19.606
-73.28700000000003,19.634
-73.21600000000001,19.662
-73.14499999999998,19.69
-73.07400000000001,19.718
-73.00299999999999,19.745
-72.93200000000002,19.773
-72.86000000000001,19.801
-72.78899999999999,19.828
-72.71800000000002,19.855
-72.64600000000002,19.882
-72.57400000000001,19.91
-72.50299999999999,19.937
-72.43099999999998,19.964
-72.35899999999998,19.99
-72.28700000000003,20.017
-72.21500000000003,20.044
-72.14300000000003,20.07
-72.13800000000003,20.13
-72.07,20.097
-73.995,19.29
-73.92399999999998,19.319
-73.85399999999998,19.347
-73.78399999999999,19.376
-73.714,19.404
-73.64300000000003,19.433
-73.57299999999998,19.461
-73.50299999999999,19.489
-73.43200000000002,19.518
-73.36099999999999,19.546
-73.291,19.574
-73.22000000000003,19.602
-73.149,19.63
-73.07799999999997,19.658
-73.007,19.685
-72.93600000000004,19.713
-72.86400000000003,19.74
-72.793,19.768
-72.72199999999998,19.795
-72.64999999999998,19.823
-72.57799999999997,19.85
-72.507,19.877
-72.435,19.904
-72.363,19.931
-72.291,19.957
-72.219,19.984
-72.14699999999999,20.011
-72.07499999999999,20.037
-72.00299999999999,20.063
-71.99799999999999,20.123
-71.93,20.09
-71.92599999999999,20.149
-71.858,20.116
-74.06700000000001,19.2
-73.99700000000001,19.229
-73.92700000000002,19.258
-73.85699999999997,19.287
-73.78700000000003,19.315
-73.71699999999998,19.344
-73.64699999999999,19.372
-73.57600000000002,19.401
-73.50599999999997,19.429
-73.435,19.457
-73.36500000000001,19.485
-73.29399999999998,19.514
-73.22300000000001,19.542
-73.15199999999999,19.569
-73.08100000000002,19.597
-73.00999999999999,19.625
-72.93899999999996,19.653
-72.868,19.68
-72.79700000000003,19.708
-72.72500000000002,19.735
-72.654,19.763
-72.582,19.79
-72.51099999999997,19.817
-72.43899999999996,19.844
-72.36700000000002,19.871
-72.29500000000002,19.898
-72.22300000000001,19.924
-72.15100000000001,19.951
-72.07900000000001,19.977
-72.007,20.004
-71.935,20.03
-71.86199999999997,20.056
-71.79000000000002,20.082
-71.78499999999997,20.142
-71.71699999999998,20.108
-74.13999999999999,19.111
-74.07,19.139
-74.0,19.168
-73.93,19.197
-73.86000000000001,19.226
-73.79000000000002,19.255
-73.72000000000003,19.283
-73.64999999999998,19.312
-73.57900000000001,19.34
-73.50900000000001,19.369
